,Unnamed: 0,Scorecard,Team 1,Team 2,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,year,Day,Margin,Victory
24,24,ODI # 28,India,New Zealand,Manchester,1975-06-14,New Zealand,England,Neutral,Neutral,First,Second,1975,Saturday,4 wickets,batting second
55,56,ODI # 61,India,West Indies,Birmingham,1979-06-09,West Indies,England,Neutral,Neutral,First,Second,1979,Saturday,9 wickets,batting second
59,60,ODI # 65,India,New Zealand,Leeds,1979-06-13,New Zealand,England,Neutral,Neutral,First,Second,1979,Wednesday,8 wickets,batting second
62,63,ODI # 68,India,Sri Lanka,Manchester,1979-06-16,Sri Lanka,England,Neutral,Neutral,Second,First,1979,Saturday,47 runs,batting first
93,94,ODI # 99,India,New Zealand,Perth,1980-12-09,India,Australia,Neutral,Neutral,First,Second,1980,Tuesday,5 runs,batting first
96,97,ODI # 102,India,New Zealand,Brisbane,1980-12-21,New Zealand,Australia,Neutral,Neutral,First,Second,1980,Sunday,3 wickets,batting second
97,98,ODI # 103,India,New Zealand,Adelaide,1980-12-23,India,Australia,Neutral,Neutral,First,Second,1980,Tuesday,6 runs,batting first
99,100,ODI # 105,India,New Zealand,Melbourne,1981-01-10,New Zealand,Australia,Neutral,Neutral,First,Second,1981,Saturday,10 wickets,batting second
103,104,ODI # 109,India,New Zealand,Brisbane,1981-01-18,New Zealand,Australia,Neutral,Neutral,Second,First,1981,Sunday,22 runs,batting first
118,119,ODI # 125,India,England,Ahmedabad,1981-11-25,England,India,Home,Away,First,Second,1981,Wednesday,5 wickets,batting second
124,125,ODI # 131,India,England,Jalandhar,1981-12-20,India,India,Home,Away,Second,First,1981,Sunday,6 wickets,batting second
136,137,ODI # 143,India,England,Cuttack,1982-01-27,India,India,Home,Away,Second,First,1982,Wednesday,5 wickets,batting second
149,150,ODI # 156,India,Sri Lanka,Amritsar,1982-09-12,India,India,Home,Away,First,Second,1982,Sunday,78 runs,batting first
150,151,ODI # 157,India,Sri Lanka,Delhi,1982-09-15,India,India,Home,Away,Second,First,1982,Wednesday,6 wickets,batting second
152,153,ODI # 159,India,Sri Lanka,Bengaluru,1982-09-26,India,India,Home,Away,Second,First,1982,Sunday,6 wickets,batting second
190,191,ODI # 200,India,West Indies,Manchester,1983-06-09,India,England,Neutral,Neutral,First,Second,1983,Thursday,34 runs,batting first
194,195,ODI # 204,India,Zimbabwe,Leicester,1983-06-11,India,England,Neutral,Neutral,Second,First,1983,Saturday,5 wickets,batting second
200,201,ODI # 210,India,West Indies,The Oval,1983-06-15,West Indies,England,Neutral,Neutral,Second,First,1983,Wednesday,66 runs,batting first
206,207,ODI # 216,India,Zimbabwe,Tunbridge Wells,1983-06-18,India,England,Neutral,Neutral,First,Second,1983,Saturday,31 runs,batting first
213,214,ODI # 223,India,West Indies,Lord's,1983-06-25,India,England,Neutral,Neutral,First,Second,1983,Saturday,43 runs,batting first
214,215,ODI # 224,India,Pakistan,Hyderabad,1983-09-10,India,India,Home,Away,Second,First,1983,Saturday,4 wickets,batting second
215,216,ODI # 225,India,Pakistan,Jaipur,1983-10-02,India,India,Home,Away,Second,First,1983,Sunday,4 wickets,batting second
216,217,ODI # 226,India,West Indies,Srinagar,1983-10-13,West Indies,India,Home,Away,Second,First,1983,Thursday,28 runs,batting first
217,218,ODI # 227,India,West Indies,Vadodara,1983-11-09,West Indies,India,Home,Away,First,Second,1983,Wednesday,4 wickets,batting second
218,219,ODI # 228,India,West Indies,Indore,1983-12-01,West Indies,India,Home,Away,First,Second,1983,Thursday,8 wickets,batting second
219,220,ODI # 229,India,West Indies,Jamshedpur,1983-12-07,West Indies,India,Home,Away,Second,First,1983,Wednesday,104 runs,batting first
220,221,ODI # 230,India,West Indies,Guwahati,1983-12-17,West Indies,India,Home,Away,First,Second,1983,Saturday,6 wickets,batting second
248,249,ODI # 260,India,Sri Lanka,Sharjah,1984-04-08,India,U.A.E.,Neutral,Neutral,Second,First,1984,Sunday,10 wickets,batting second
249,250,ODI # 261,India,Pakistan,Sharjah,1984-04-13,India,U.A.E.,Neutral,Neutral,First,Second,1984,Friday,54 runs,batting first
256,257,ODI # 270,India,Australia,Ahmedabad,1984-10-05,Australia,India,Home,Away,First,Second,1984,Friday,7 wickets,batting second
257,258,ODI # 271,India,Australia,Indore,1984-10-06,Australia,India,Home,Away,First,Second,1984,Saturday,6 wickets,batting second
264,265,ODI # 279,India,England,Pune,1984-12-05,England,India,Home,Away,First,Second,1984,Wednesday,4 wickets,batting second
266,267,ODI # 281,India,England,Cuttack,1984-12-27,England,India,Home,Away,Second,First,1984,Thursday,1 run,batting first
278,279,ODI # 293,India,England,Bengaluru,1985-01-20,England,India,Home,Away,First,Second,1985,Sunday,3 wickets,batting second
280,281,ODI # 295,India,England,Nagpur,1985-01-23,India,India,Home,Away,Second,First,1985,Wednesday,3 wickets,batting second
283,284,ODI # 298,India,England,Chandigarh,1985-01-27,England,India,Home,Away,Second,First,1985,Sunday,7 runs,batting first
292,293,ODI # 309,India,Pakistan,Melbourne,1985-02-20,India,Australia,Neutral,Neutral,Second,First,1985,Wednesday,6 wickets,batting second
299,300,ODI # 316,India,New Zealand,Sydney,1985-03-05,India,Australia,Neutral,Neutral,Second,First,1985,Tuesday,7 wickets,batting second
302,303,ODI # 319,India,Pakistan,Melbourne,1985-03-10,India,Australia,Neutral,Neutral,Second,First,1985,Sunday,8 wickets,batting second
304,305,ODI # 321,India,Pakistan,Sharjah,1985-03-22,India,U.A.E.,Neutral,Neutral,First,Second,1985,Friday,38 runs,batting first
322,323,ODI # 340,India,Pakistan,Sharjah,1985-11-17,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1985,Sunday,48 runs,batting first
323,324,ODI # 341,India,West Indies,Sharjah,1985-11-22,West Indies,U.A.E.,Neutral,Neutral,First,Second,1985,Friday,8 wickets,batting second
329,330,ODI # 348,India,New Zealand,Brisbane,1986-01-11,India,Australia,Neutral,Neutral,Second,First,1986,Saturday,5 wickets,batting second
333,334,ODI # 352,India,New Zealand,Perth,1986-01-18,New Zealand,Australia,Neutral,Neutral,First,Second,1986,Saturday,3 wickets,batting second
336,337,ODI # 355,India,New Zealand,Melbourne,1986-01-23,New Zealand,Australia,Neutral,Neutral,First,Second,1986,Thursday,5 wickets,batting second
337,338,ODI # 356,India,New Zealand,Adelaide,1986-01-25,India,Australia,Neutral,Neutral,Second,First,1986,Saturday,5 wickets,batting second
342,343,ODI # 361,India,New Zealand,Launceston,1986-02-02,India,Australia,Neutral,Neutral,First,Second,1986,Sunday,22 runs,batting first
361,362,ODI # 381,India,New Zealand,Sharjah,1986-04-10,India,U.A.E.,Neutral,Neutral,Second,First,1986,Thursday,3 wickets,batting second
363,364,ODI # 383,India,Sri Lanka,Sharjah,1986-04-13,India,U.A.E.,Neutral,Neutral,Second,First,1986,Sunday,3 wickets,batting second
365,366,ODI # 385,India,Pakistan,Sharjah,1986-04-18,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1986,Friday,1 wicket,batting first
370,371,ODI # 390,India,Australia,Jaipur,1986-09-07,India,India,Home,Away,Second,First,1986,Sunday,7 wickets,batting second
371,372,ODI # 391,India,Australia,Srinagar,1986-09-09,Australia,India,Home,Away,First,Second,1986,Tuesday,3 wickets,batting second
372,373,ODI # 393,India,Australia,Delhi,1986-10-02,India,India,Home,Away,Second,First,1986,Thursday,3 wickets,batting second
373,374,ODI # 394,India,Australia,Ahmedabad,1986-10-05,India,India,Home,Away,First,Second,1986,Sunday,52 runs,batting first
374,375,ODI # 395,India,Australia,Rajkot,1986-10-07,Australia,India,Home,Away,First,Second,1986,Tuesday,7 wickets,batting second
380,381,ODI # 401,India,Sri Lanka,Sharjah,1986-11-27,India,U.A.E.,Neutral,Neutral,Second,First,1986,Thursday,7 wickets,batting second
382,383,ODI # 403,India,West Indies,Sharjah,1986-11-30,West Indies,U.A.E.,Neutral,Neutral,Second,First,1986,Sunday,33 runs,batting first
385,386,ODI # 406,India,Pakistan,Sharjah,1986-12-05,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1986,Friday,3 wickets,batting second
386,387,ODI # 407,India,Sri Lanka,Kanpur,1986-12-24,Sri Lanka,India,Home,Away,Second,First,1986,Wednesday,117 runs,batting first
394,395,ODI # 415,India,Sri Lanka,Guwahati,1987-01-11,India,India,Home,Away,Second,First,1987,Sunday,8 wickets,batting second
395,396,ODI # 416,India,Sri Lanka,Delhi,1987-01-13,India,India,Home,Away,Second,First,1987,Tuesday,6 wickets,batting second
396,397,ODI # 417,India,Sri Lanka,Vadodara,1987-01-15,India,India,Home,Away,First,Second,1987,Thursday,94 runs,batting first
398,399,ODI # 419,India,Sri Lanka,Mumbai,1987-01-17,India,India,Home,Away,First,Second,1987,Saturday,10 runs,batting first
405,406,ODI # 426,India,Pakistan,Indore,1987-01-27,Pakistan,India,Home,Away,First,Second,1987,Tuesday,3 wickets,batting second
413,414,ODI # 434,India,Pakistan,Kolkata,1987-02-18,Pakistan,India,Home,Away,First,Second,1987,Wednesday,2 wickets,batting second
416,418,ODI # 438,India,Pakistan,Pune,1987-03-22,Pakistan,India,Home,Away,First,Second,1987,Sunday,6 wickets,batting second
417,419,ODI # 439,India,Pakistan,Nagpur,1987-03-24,Pakistan,India,Home,Away,Second,First,1987,Tuesday,41 runs,batting first
418,420,ODI # 440,India,Pakistan,Jamshedpur,1987-03-26,Pakistan,India,Home,Away,First,Second,1987,Thursday,5 wickets,batting second
425,427,ODI # 447,India,Pakistan,Sharjah,1987-04-10,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1987,Friday,8 wickets,batting second
430,432,ODI # 453,India,Australia,Chennai,1987-10-09,Australia,India,Home,Away,Second,First,1987,Friday,1 run,batting first
436,438,ODI # 458,India,New Zealand,Bengaluru,1987-10-14,India,India,Home,Away,First,Second,1987,Wednesday,16 runs,batting first
438,440,ODI # 461,India,Zimbabwe,Mumbai,1987-10-17,India,India,Home,Away,Second,First,1987,Saturday,8 wickets,batting second
443,445,ODI # 465,India,Australia,Delhi,1987-10-22,India,India,Home,Away,First,Second,1987,Thursday,56 runs,batting first
447,449,ODI # 469,India,Zimbabwe,Ahmedabad,1987-10-26,India,India,Home,Away,Second,First,1987,Monday,7 wickets,batting second
452,454,ODI # 474,India,New Zealand,Nagpur,1987-10-31,India,India,Home,Away,Second,First,1987,Saturday,9 wickets,batting second
454,456,ODI # 476,India,England,Mumbai,1987-11-05,England,India,Home,Away,Second,First,1987,Thursday,35 runs,batting first
459,461,ODI # 481,India,West Indies,Nagpur,1987-12-08,West Indies,India,Home,Away,Second,First,1987,Tuesday,10 runs,batting first
460,462,ODI # 482,India,West Indies,Guwahati,1987-12-23,West Indies,India,Home,Away,Second,First,1987,Wednesday,52 runs,batting first
462,464,ODI # 483,India,West Indies,Kolkata,1988-01-02,India,India,Home,Away,First,Second,1988,Saturday,56 runs,batting first
465,467,ODI # 487,India,West Indies,Rajkot,1988-01-05,West Indies,India,Home,Away,First,Second,1988,Tuesday,6 wickets,batting second
467,469,ODI # 489,India,West Indies,Ahmedabad,1988-01-07,West Indies,India,Home,Away,Second,First,1988,Thursday,2 runs,batting first
475,477,ODI # 497,India,West Indies,Faridabad,1988-01-19,West Indies,India,Home,Away,First,Second,1988,Tuesday,4 wickets,batting second
478,480,ODI # 500,India,West Indies,Gwalior,1988-01-22,West Indies,India,Home,Away,Second,First,1988,Friday,73 runs,batting first
480,482,ODI # 502,India,West Indies,Thiruvananthapuram,1988-01-25,West Indies,India,Home,Away,First,Second,1988,Monday,9 wickets,batting second
490,492,ODI # 512,India,Sri Lanka,Sharjah,1988-03-25,India,U.A.E.,Neutral,Neutral,First,Second,1988,Friday,18 runs,batting first
491,493,ODI # 513,India,New Zealand,Sharjah,1988-03-27,India,U.A.E.,Neutral,Neutral,First,Second,1988,Sunday,73 runs,batting first
495,497,ODI # 517,India,New Zealand,Sharjah,1988-04-01,India,U.A.E.,Neutral,Neutral,First,Second,1988,Friday,52 runs,batting first
500,503,ODI # 523,India,West Indies,Sharjah,1988-10-16,India,U.A.E.,Neutral,Neutral,First,Second,1988,Sunday,23 runs,batting first
502,505,ODI # 525,India,Pakistan,Sharjah,1988-10-19,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1988,Wednesday,34 runs,batting first
503,506,ODI # 526,India,West Indies,Sharjah,1988-10-21,West Indies,U.A.E.,Neutral,Neutral,First,Second,1988,Friday,8 wickets,batting second
507,510,ODI # 530,India,Sri Lanka,Dhaka,1988-10-29,Sri Lanka,Bangladesh,Neutral,Neutral,Second,First,1988,Saturday,17 runs,batting first
509,512,ODI # 532,India,Pakistan,Dhaka,1988-10-31,India,Bangladesh,Neutral,Neutral,Second,First,1988,Monday,4 wickets,batting second
511,514,ODI # 534,India,Sri Lanka,Dhaka,1988-11-04,India,Bangladesh,Neutral,Neutral,Second,First,1988,Friday,6 wickets,batting second
513,516,ODI # 536,India,New Zealand,Visakhapatnam,1988-12-10,India,India,Home,Away,Second,First,1988,Saturday,4 wickets,batting second
515,518,ODI # 538,India,New Zealand,Cuttack,1988-12-12,India,India,Home,Away,Second,First,1988,Monday,5 wickets,batting second
518,521,ODI # 541,India,New Zealand,Indore,1988-12-15,India,India,Home,Away,First,Second,1988,Thursday,53 runs,batting first
520,523,ODI # 543,India,New Zealand,Vadodara,1988-12-17,India,India,Home,Away,Second,First,1988,Saturday,2 wickets,batting second
545,548,ODI # 569,India,West Indies,Sharjah,1989-10-13,West Indies,U.A.E.,Neutral,Neutral,First,Second,1989,Friday,5 wickets,batting second
548,551,ODI # 572,India,Pakistan,Sharjah,1989-10-15,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1989,Sunday,6 wickets,batting second
549,552,ODI # 573,India,West Indies,Sharjah,1989-10-16,India,U.A.E.,Neutral,Neutral,First,Second,1989,Monday,37 runs,batting first
553,556,ODI # 577,India,Pakistan,Sharjah,1989-10-20,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1989,Friday,38 runs,batting first
556,559,ODI # 580,India,Sri Lanka,Ahmedabad,1989-10-22,India,India,Home,Away,First,Second,1989,Sunday,6 runs,batting first
558,561,ODI # 582,India,West Indies,Delhi,1989-10-23,West Indies,India,Home,Away,Second,First,1989,Monday,20 runs,batting first
559,562,ODI # 583,India,England,Kanpur,1989-10-25,India,India,Home,Away,Second,First,1989,Wednesday,6 wickets,batting second
563,566,ODI # 587,India,Australia,Bengaluru,1989-10-27,India,India,Home,Away,Second,First,1989,Friday,3 wickets,batting second
565,568,ODI # 589,India,Pakistan,Kolkata,1989-10-28,Pakistan,India,Home,Away,Second,First,1989,Saturday,77 runs,batting first
567,570,ODI # 591,India,West Indies,Mumbai,1989-10-30,West Indies,India,Home,Away,First,Second,1989,Monday,8 wickets,batting second
596,599,ODI # 623,India,Sri Lanka,Sharjah,1990-04-25,Sri Lanka,U.A.E.,Neutral,Neutral,First,Second,1990,Wednesday,3 wickets,batting second
598,601,ODI # 625,India,Pakistan,Sharjah,1990-04-27,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1990,Friday,26 runs,batting first
617,620,ODI # 644,India,Sri Lanka,Nagpur,1990-12-01,India,India,Home,Away,First,Second,1990,Saturday,19 runs,batting first
619,622,ODI # 646,India,Sri Lanka,Pune,1990-12-05,India,India,Home,Away,Second,First,1990,Wednesday,6 wickets,batting second
621,624,ODI # 648,India,Sri Lanka,Margao,1990-12-08,Sri Lanka,India,Home,Away,First,Second,1990,Saturday,7 wickets,batting second
630,633,ODI # 657,India,Bangladesh,Chandigarh,1990-12-25,India,India,Home,Away,Second,First,1990,Tuesday,9 wickets,batting second
631,634,ODI # 658,India,Sri Lanka,Cuttack,1990-12-28,Sri Lanka,India,Home,Away,Second,First,1990,Friday,36 runs,batting first
634,637,ODI # 661,India,Sri Lanka,Kolkata,1991-01-04,India,India,Home,Away,Second,First,1991,Friday,7 wickets,batting second
653,656,ODI # 680,India,Pakistan,Sharjah,1991-10-18,India,U.A.E.,Neutral,Neutral,First,Second,1991,Friday,60 runs,batting first
654,657,ODI # 681,India,West Indies,Sharjah,1991-10-19,India,U.A.E.,Neutral,Neutral,First,Second,1991,Saturday,19 runs,batting first
656,659,ODI # 683,India,West Indies,Sharjah,1991-10-22,India,U.A.E.,Neutral,Neutral,Second,First,1991,Tuesday,7 wickets,batting second
657,660,ODI # 684,India,Pakistan,Sharjah,1991-10-23,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1991,Wednesday,4 runs,batting first
658,661,ODI # 685,India,Pakistan,Sharjah,1991-10-25,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1991,Friday,72 runs,batting first
659,662,ODI # 686,India,South Africa,Kolkata,1991-11-10,India,India,Home,Away,Second,First,1991,Sunday,3 wickets,batting second
660,663,ODI # 687,India,South Africa,Gwalior,1991-11-12,India,India,Home,Away,First,Second,1991,Tuesday,38 runs,batting first
667,670,ODI # 696,India,West Indies,Adelaide,1991-12-14,India,Australia,Neutral,Neutral,First,Second,1991,Saturday,10 runs,batting first
672,675,ODI # 702,India,West Indies,Brisbane,1992-01-11,West Indies,Australia,Neutral,Neutral,First,Second,1992,Saturday,6 wickets,batting second
677,680,ODI # 707,India,West Indies,Melbourne,1992-01-16,India,Australia,Neutral,Neutral,Second,First,1992,Thursday,5 wickets,batting second
697,700,ODI # 729,India,Pakistan,Sydney,1992-03-04,India,Australia,Neutral,Neutral,First,Second,1992,Wednesday,43 runs,batting first
700,703,ODI # 732,India,Zimbabwe,Hamilton,1992-03-07,India,New Zealand,Neutral,Neutral,First,Second,1992,Saturday,55 runs,batting first
705,708,ODI # 737,India,West Indies,Wellington,1992-03-10,West Indies,New Zealand,Neutral,Neutral,First,Second,1992,Tuesday,5 wickets,batting second
713,716,ODI # 745,India,South Africa,Adelaide,1992-03-15,South Africa,Australia,Neutral,Neutral,First,Second,1992,Sunday,6 wickets,batting second
760,763,ODI # 794,India,England,Jaipur,1993-01-18,England,India,Home,Away,First,Second,1993,Monday,4 wickets,batting second
761,764,ODI # 795,India,England,Chandigarh,1993-01-21,India,India,Home,Away,Second,First,1993,Thursday,5 wickets,batting second
775,778,ODI # 809,India,England,Bengaluru,1993-02-26,England,India,Home,Away,Second,First,1993,Friday,48 runs,batting first
777,780,ODI # 811,India,England,Jamshedpur,1993-03-01,England,India,Home,Away,First,Second,1993,Monday,6 wickets,batting second
779,782,ODI # 813,India,England,Gwalior,1993-03-04,India,India,Home,Away,Second,First,1993,Thursday,3 wickets,batting second
780,783,ODI # 814,India,England,Gwalior,1993-03-05,India,India,Home,Away,Second,First,1993,Friday,4 wickets,batting second
783,786,ODI # 817,India,Zimbabwe,Faridabad,1993-03-19,India,India,Home,Away,First,Second,1993,Friday,67 runs,batting first
786,789,ODI # 820,India,Zimbabwe,Guwahati,1993-03-22,India,India,Home,Away,Second,First,1993,Monday,7 wickets,batting second
789,792,ODI # 823,India,Zimbabwe,Pune,1993-03-25,India,India,Home,Away,Second,First,1993,Thursday,8 wickets,batting second
810,813,ODI # 846,India,Sri Lanka,Kanpur,1993-11-07,India,India,Home,Away,Second,First,1993,Sunday,7 wickets,batting second
814,817,ODI # 851,India,West Indies,Ahmedabad,1993-11-16,West Indies,India,Home,Away,Second,First,1993,Tuesday,69 runs,batting first
818,821,ODI # 856,India,South Africa,Kolkata,1993-11-24,India,India,Home,Away,First,Second,1993,Wednesday,2 runs,batting first
820,823,ODI # 858,India,West Indies,Kolkata,1993-11-27,India,India,Home,Away,First,Second,1993,Saturday,102 runs,batting first
840,843,ODI # 879,India,Sri Lanka,Rajkot,1994-02-15,India,India,Home,Away,First,Second,1994,Tuesday,8 runs,batting first
842,845,ODI # 881,India,Sri Lanka,Hyderabad,1994-02-18,India,India,Home,Away,Second,First,1994,Friday,7 wickets,batting second
844,847,ODI # 883,India,Sri Lanka,Jalandhar,1994-02-20,Sri Lanka,India,Home,Away,First,Second,1994,Sunday,4 wickets,batting second
866,869,ODI # 906,India,Pakistan,Sharjah,1994-04-15,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1994,Friday,6 wickets,batting second
872,875,ODI # 912,India,Pakistan,Sharjah,1994-04-22,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1994,Friday,39 runs,batting first
890,893,ODI # 931,India,West Indies,Faridabad,1994-10-17,West Indies,India,Home,Away,Second,First,1994,Monday,96 runs,batting first
892,895,ODI # 933,India,West Indies,Mumbai,1994-10-20,India,India,Home,Away,First,Second,1994,Thursday,8 runs,batting first
895,898,ODI # 936,India,West Indies,Chennai,1994-10-23,India,India,Home,Away,Second,First,1994,Sunday,4 wickets,batting second
897,900,ODI # 939,India,New Zealand,Vadodara,1994-10-28,India,India,Home,Away,Second,First,1994,Friday,7 wickets,batting second
899,902,ODI # 941,India,West Indies,Kanpur,1994-10-30,West Indies,India,Home,Away,Second,First,1994,Sunday,46 runs,batting first
902,905,ODI # 944,India,New Zealand,Delhi,1994-11-03,India,India,Home,Away,First,Second,1994,Thursday,107 runs,batting first
905,908,ODI # 947,India,West Indies,Kolkata,1994-11-05,India,India,Home,Away,First,Second,1994,Saturday,72 runs,batting first
907,910,ODI # 949,India,West Indies,Visakhapatnam,1994-11-07,India,India,Home,Away,First,Second,1994,Monday,4 runs,batting first
908,911,ODI # 950,India,West Indies,Cuttack,1994-11-09,India,India,Home,Away,Second,First,1994,Wednesday,8 wickets,batting second
909,912,ODI # 951,India,West Indies,Jaipur,1994-11-11,India,India,Home,Away,First,Second,1994,Friday,5 runs,batting first
934,937,ODI # 977,India,South Africa,Hamilton,1995-02-18,South Africa,New Zealand,Neutral,Neutral,Second,First,1995,Saturday,14 runs,batting first
951,954,ODI # 995,India,Pakistan,Sharjah,1995-04-07,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1995,Friday,97 runs,batting first
953,956,ODI # 997,India,Sri Lanka,Sharjah,1995-04-09,India,U.A.E.,Neutral,Neutral,Second,First,1995,Sunday,8 wickets,batting second
955,958,ODI # 999,India,Sri Lanka,Sharjah,1995-04-14,India,U.A.E.,Neutral,Neutral,Second,First,1995,Friday,8 wickets,batting second
971,974,ODI # 1015,India,New Zealand,Jamshedpur,1995-11-15,New Zealand,India,Home,Away,First,Second,1995,Wednesday,8 wickets,batting second
972,975,ODI # 1016,India,New Zealand,Amritsar,1995-11-18,India,India,Home,Away,Second,First,1995,Saturday,6 wickets,batting second
973,976,ODI # 1017,India,New Zealand,Pune,1995-11-24,India,India,Home,Away,Second,First,1995,Friday,5 wickets,batting second
974,977,ODI # 1018,India,New Zealand,Nagpur,1995-11-26,New Zealand,India,Home,Away,Second,First,1995,Sunday,99 runs,batting first
975,978,ODI # 1019,India,New Zealand,Mumbai,1995-11-29,India,India,Home,Away,Second,First,1995,Wednesday,6 wickets,batting second
1008,1011,ODI # 1052,India,Kenya,Cuttack,1996-02-18,India,India,Home,Away,Second,First,1996,Sunday,7 wickets,batting second
1012,1015,ODI # 1056,India,West Indies,Gwalior,1996-02-21,India,India,Home,Away,Second,First,1996,Wednesday,5 wickets,batting second
1020,1023,ODI # 1065,India,Australia,Mumbai,1996-02-27,Australia,India,Home,Away,Second,First,1996,Tuesday,16 runs,batting first
1025,1028,ODI # 1070,India,Sri Lanka,Delhi,1996-03-02,Sri Lanka,India,Home,Away,First,Second,1996,Saturday,6 wickets,batting second
1029,1032,ODI # 1075,India,Zimbabwe,Kanpur,1996-03-06,India,India,Home,Away,First,Second,1996,Wednesday,40 runs,batting first
1033,1036,ODI # 1078,India,Pakistan,Bengaluru,1996-03-09,India,India,Home,Away,First,Second,1996,Saturday,39 runs,batting first
1047,1051,ODI # 1094,India,Pakistan,Sharjah,1996-04-12,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1996,Friday,38 runs,batting first
1050,1054,ODI # 1097,India,South Africa,Sharjah,1996-04-14,South Africa,U.A.E.,Neutral,Neutral,Second,First,1996,Sunday,80 runs,batting first
1051,1055,ODI # 1098,India,Pakistan,Sharjah,1996-04-15,India,U.A.E.,Neutral,Neutral,First,Second,1996,Monday,28 runs,batting first
1053,1057,ODI # 1100,India,South Africa,Sharjah,1996-04-17,South Africa,U.A.E.,Neutral,Neutral,First,Second,1996,Wednesday,5 wickets,batting second
1054,1058,ODI # 1101,India,South Africa,Sharjah,1996-04-19,South Africa,U.A.E.,Neutral,Neutral,Second,First,1996,Friday,38 runs,batting first
1062,1066,ODI # 1110,India,Zimbabwe,Colombo,1996-09-01,India,Sri Lanka,Neutral,Neutral,Second,First,1996,Sunday,7 wickets,batting second
1067,1071,ODI # 1115,India,Pakistan,Toronto,1996-09-16,India,Canada,Neutral,Neutral,Second,First,1996,Monday,8 wickets,batting second
1068,1072,ODI # 1116,India,Pakistan,Toronto,1996-09-17,Pakistan,Canada,Neutral,Neutral,First,Second,1996,Tuesday,2 wickets,batting second
1069,1073,ODI # 1117,India,Pakistan,Toronto,1996-09-18,India,Canada,Neutral,Neutral,First,Second,1996,Wednesday,55 runs,batting first
1070,1074,ODI # 1118,India,Pakistan,Toronto,1996-09-21,Pakistan,Canada,Neutral,Neutral,Second,First,1996,Saturday,97 runs,batting first
1071,1075,ODI # 1119,India,Pakistan,Toronto,1996-09-23,Pakistan,Canada,Neutral,Neutral,Second,First,1996,Monday,52 runs,batting first
1079,1083,ODI # 1127,India,South Africa,Hyderabad,1996-10-17,South Africa,India,Home,Away,Second,First,1996,Thursday,47 runs,batting first
1081,1085,ODI # 1129,India,Australia,Bengaluru,1996-10-21,India,India,Home,Away,Second,First,1996,Monday,2 wickets,batting second
1082,1086,ODI # 1130,India,South Africa,Jaipur,1996-10-23,South Africa,India,Home,Away,Second,First,1996,Wednesday,27 runs,batting first
1084,1088,ODI # 1132,India,South Africa,Rajkot,1996-10-29,South Africa,India,Home,Away,First,Second,1996,Tuesday,5 wickets,batting second
1090,1094,ODI # 1138,India,South Africa,Mumbai,1996-11-06,India,India,Home,Away,First,Second,1996,Wednesday,35 runs,batting first
1102,1106,ODI # 1151,India,South Africa,Mumbai,1996-12-14,India,India,Home,Away,First,Second,1996,Saturday,74 runs,batting first
1124,1128,ODI # 1174,India,Zimbabwe,Centurion,1997-02-07,Zimbabwe,South Africa,Neutral,Neutral,First,Second,1997,Friday,3 wickets,batting second
1125,1129,ODI # 1175,India,Zimbabwe,Benoni,1997-02-09,India,South Africa,Neutral,Neutral,Second,First,1997,Sunday,6 wickets,batting second
1154,1158,ODI # 1206,India,New Zealand,Bengaluru,1997-05-14,India,India,Home,Away,Second,First,1997,Wednesday,8 wickets,batting second
1155,1159,ODI # 1207,India,Sri Lanka,Mumbai,1997-05-17,Sri Lanka,India,Home,Away,First,Second,1997,Saturday,5 wickets,batting second
1157,1161,ODI # 1209,India,Pakistan,Chennai,1997-05-21,Pakistan,India,Home,Away,Second,First,1997,Wednesday,35 runs,batting first
1173,1177,ODI # 1227,India,Pakistan,Toronto,1997-09-13,India,Canada,Neutral,Neutral,First,Second,1997,Saturday,20 runs,batting first
1174,1178,ODI # 1228,India,Pakistan,Toronto,1997-09-14,India,Canada,Neutral,Neutral,Second,First,1997,Sunday,7 wickets,batting second
1175,1179,ODI # 1230,India,Pakistan,Toronto,1997-09-18,India,Canada,Neutral,Neutral,First,Second,1997,Thursday,34 runs,batting first
1176,1180,ODI # 1231,India,Pakistan,Toronto,1997-09-20,India,Canada,Neutral,Neutral,Second,First,1997,Saturday,7 wickets,batting second
1177,1181,ODI # 1232,India,Pakistan,Toronto,1997-09-21,Pakistan,Canada,Neutral,Neutral,First,Second,1997,Sunday,5 wickets,batting second
1206,1210,ODI # 1262,India,Pakistan,Sharjah,1997-12-14,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1997,Sunday,4 wickets,batting second
